pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_insol,st_teff,pl_eqt,pl_tranmid,st_rad,st_mass
Kepler-1870 b,3.60694152600,0.0428000000,2.03000000,455.3200,5587.00,1178.00,2454967.77438300,0.978000,0.806000
Kepler-1870 b,3.60694152600,0.0428000000,2.03000000,455.3200,5587.00,1178.00,2454967.77438300,0.978000,0.806000
Kepler-601 b,5.37886800100,0.0560000000,1.86000000,113.5900,5077.00,833.00,2455002.61512000,0.774000,0.806000
Kepler-726 b,21.80451611000,0.1406000000,2.60000000,20.4800,5481.00,543.00,2455023.49737000,0.708000,0.806000
Kepler-781 b,13.21407320000,0.1016000000,2.72000000,36.8800,5330.00,628.00,2454973.58725000,0.726000,0.806000
Kepler-781 b,13.21407320000,0.1016000000,2.72000000,36.8800,5330.00,628.00,2454973.58725000,0.726000,0.806000
Kepler-781 b,13.21407320000,0.1016000000,2.72000000,36.8800,5330.00,628.00,2454973.58725000,0.726000,0.806000
Kepler-828 b,0.56785648400,0.0125000000,1.55000000,2760.2300,5073.00,1848.00,2454967.06308800,0.853000,0.806000
Kepler-934 b,55.67358200000,0.2658000000,2.19000000,5.1600,4998.00,384.00,2454969.54906000,0.808000,0.806000
TOI-561 b,0.44656880000,0.0106000000,1.42500000,4745.0000,5372.00,2310.00,2459317.74980000,0.843000,0.806000
TOI-561 c,10.77883100000,0.0884000000,2.91000000,68.2000,5372.00,800.00,2459238.46290000,0.843000,0.806000
TOI-561 d,25.71240000000,0.1580000000,2.82000000,21.4000,5372.00,598.00,2459318.96600000,0.843000,0.806000
TOI-561 e,77.03000000000,0.3280000000,2.55000000,4.9600,5372.00,415.00,2458538.18000000,0.843000,0.806000
HAT-P-19 b,4.00878322000,0.0459900000,11.29865255,154.0000,4962.00,981.20,2456610.86394500,0.773000,0.807000
HD 18599 b,4.13743700000,0.0500000000,2.70000000,145.0000,5083.00,863.00,2458726.95760000,0.798000,0.807000
Kepler-1809 b,3.75729469500,0.0435000000,1.23000000,139.8900,4901.00,877.00,2454966.95965000,0.716000,0.807000
Kepler-181 b,3.13784591400,0.0391000000,1.50000000,277.6400,5041.00,1041.00,2454966.55689000,0.857000,0.807000
Kepler-181 c,4.30213933800,0.0482000000,2.46000000,182.7000,5041.00,937.00,2455006.43892200,0.857000,0.807000
Kepler-362 b,10.32738017000,0.0864000000,0.84000000,70.3300,5776.00,739.00,2454972.37279000,0.726000,0.807000
Kepler-362 b,10.32738017000,0.0864000000,0.84000000,70.3300,5776.00,739.00,2454972.37279000,0.726000,0.807000
Kepler-362 b,10.32738017000,0.0864000000,0.84000000,70.3300,5776.00,739.00,2454972.37279000,0.726000,0.807000
Kepler-362 c,37.86589820000,0.2054000000,1.68000000,12.4400,5776.00,479.00,2454967.36200000,0.726000,0.807000
Kepler-362 c,37.86589820000,0.2054000000,1.68000000,12.4400,5776.00,479.00,2454967.36200000,0.726000,0.807000
Kepler-362 c,37.86589820000,0.2054000000,1.68000000,12.4400,5776.00,479.00,2454967.36200000,0.726000,0.807000
Kepler-689 b,22.36656079000,0.1448000000,2.45000000,20.6700,5413.00,544.00,2455008.45508000,0.751000,0.807000
Kepler-689 b,22.36656079000,0.1448000000,2.45000000,20.6700,5413.00,544.00,2455008.45508000,0.751000,0.807000
Kepler-689 b,22.36656079000,0.1448000000,2.45000000,20.6700,5413.00,544.00,2455008.45508000,0.751000,0.807000
Kepler-755 b,1.26909141500,0.0214000000,1.41000000,740.4700,5041.00,1331.00,2454966.34368200,0.766000,0.807000
Kepler-755 c,2.85313399700,0.0367000000,1.36000000,251.7700,5041.00,1016.00,2454966.79678000,0.766000,0.807000
Kepler-867 b,150.24212700000,0.5154000000,3.79000000,1.7000,5514.00,291.00,2454971.28724000,0.739000,0.807000
Kepler-867 b,150.24212700000,0.5154000000,3.79000000,1.7000,5514.00,291.00,2454971.28724000,0.739000,0.807000
Kepler-867 b,150.24212700000,0.5154000000,3.79000000,1.7000,5514.00,291.00,2454971.28724000,0.739000,0.807000
Kepler-1409 b,0.76486492600,0.0152000000,1.10000000,2145.1400,5231.00,1736.00,2454965.13076000,0.860000,0.808000
Kepler-1409 b,0.76486492600,0.0152000000,1.10000000,2145.1400,5231.00,1736.00,2454965.13076000,0.860000,0.808000
Kepler-1409 b,0.76486492600,0.0152000000,1.10000000,2145.1400,5231.00,1736.00,2454965.13076000,0.860000,0.808000
Kepler-1409 b,0.76486351700,0.0152000000,1.04000000,2145.1400,5231.00,1733.00,2454965.13343000,0.860000,0.808000
Kepler-1490 b,92.43697800000,0.3729000000,2.89000000,3.4600,5595.00,348.00,2454996.57940000,0.741000,0.808000
Kepler-607 b,0.63816320400,0.0135000000,0.99000000,2928.3100,5244.00,1876.00,2454964.74909000,0.888000,0.808000
Kepler-607 b,0.63816320400,0.0135000000,0.99000000,2928.3100,5244.00,1876.00,2454964.74909000,0.888000,0.808000
Kepler-607 b,0.63816293300,0.0135000000,0.91000000,2928.3100,5244.00,1874.00,2454964.74826000,0.888000,0.808000
Kepler-607 b,0.63816320400,0.0135000000,0.99000000,2928.3100,5244.00,1876.00,2454964.74909000,0.888000,0.808000
Kepler-607 c,39.67696170000,0.2122000000,2.98000000,11.8500,5244.00,473.00,2455011.55509000,0.888000,0.808000
Kepler-607 c,39.67660710000,0.2122000000,2.29000000,11.8500,5244.00,473.00,2455011.55555000,0.888000,0.808000
Kepler-607 c,39.67696170000,0.2122000000,2.98000000,11.8500,5244.00,473.00,2455011.55509000,0.888000,0.808000
Kepler-607 c,39.67696170000,0.2122000000,2.98000000,11.8500,5244.00,473.00,2455011.55509000,0.888000,0.808000
Kepler-821 b,1.92279873000,0.0282000000,1.25000000,481.0400,5155.00,1194.00,2454967.50338000,0.778000,0.808000
Kepler-821 b,1.92279873000,0.0282000000,1.25000000,481.0400,5155.00,1194.00,2454967.50338000,0.778000,0.808000
Kepler-821 b,1.92279873000,0.0282000000,1.25000000,481.0400,5155.00,1194.00,2454967.50338000,0.778000,0.808000
Kepler-912 b,2.53475627300,0.0339000000,2.00000000,519.9500,5662.00,1218.00,2454965.68056000,0.806000,0.808000
Kepler-912 b,2.53475568000,0.0339000000,2.02000000,519.9500,5662.00,1218.00,2454965.68024000,0.806000,0.808000
Kepler-912 b,2.53475627300,0.0339000000,2.00000000,519.9500,5662.00,1218.00,2454965.68056000,0.806000,0.808000
Kepler-912 b,2.53475627300,0.0339000000,2.00000000,519.9500,5662.00,1218.00,2454965.68056000,0.806000,0.808000
Kepler-1010 b,34.26857050000,0.1925000000,2.47000000,14.5600,5325.00,498.00,2454980.05222000,0.866000,0.809000
Kepler-1010 b,34.26857050000,0.1925000000,2.47000000,14.5600,5325.00,498.00,2454980.05222000,0.866000,0.809000
Kepler-1010 b,34.26857050000,0.1925000000,2.47000000,14.5600,5325.00,498.00,2454980.05222000,0.866000,0.809000
Kepler-1138 b,3.17060005000,0.0394000000,1.66000000,489.4600,5725.00,1200.00,2454965.67726000,0.889000,0.809000
Kepler-1138 b,3.17060005000,0.0394000000,1.66000000,489.4600,5725.00,1200.00,2454965.67726000,0.889000,0.809000
Kepler-1138 b,3.17060005000,0.0394000000,1.66000000,489.4600,5725.00,1200.00,2454965.67726000,0.889000,0.809000
Kepler-1260 b,19.11877530000,0.1305000000,1.45000000,48.5100,5923.00,673.00,2454971.42568000,0.866000,0.809000
Kepler-1260 b,19.11877530000,0.1305000000,1.45000000,48.5100,5923.00,673.00,2454971.42568000,0.866000,0.809000
Kepler-1260 b,19.11877530000,0.1305000000,1.45000000,48.5100,5923.00,673.00,2454971.42568000,0.866000,0.809000
Kepler-1315 b,0.84337998500,0.0163000000,1.70000000,1329.9900,4818.00,1541.00,2454964.96617400,0.856000,0.809000
Kepler-1315 b,0.84338011000,0.0163000000,1.57000000,1329.9900,4818.00,1540.00,2454964.96621100,0.856000,0.809000
Kepler-1315 b,0.84338011000,0.0163000000,1.57000000,1329.9900,4818.00,1540.00,2454964.96621100,0.856000,0.809000
Kepler-1315 b,0.84338011000,0.0163000000,1.57000000,1329.9900,4818.00,1540.00,2454964.96621100,0.856000,0.809000
Kepler-1315 c,6.56606842000,0.0640000000,1.72000000,86.2700,4818.00,777.00,2454967.49480000,0.856000,0.809000
Kepler-1315 c,6.56606842000,0.0640000000,1.72000000,86.2700,4818.00,777.00,2454967.49480000,0.856000,0.809000
Kepler-1315 c,6.56606941000,0.0640000000,1.83000000,86.2700,4818.00,777.00,2454967.49512000,0.856000,0.809000
Kepler-1315 c,6.56606842000,0.0640000000,1.72000000,86.2700,4818.00,777.00,2454967.49480000,0.856000,0.809000
Kepler-760 b,8.70420525000,0.0772000000,2.86000000,74.1300,5074.00,748.00,2455190.55941000,0.863000,0.809000
Kepler-760 c,2.46697039000,0.0333000000,1.56000000,398.4200,5074.00,1139.00,2455187.93093000,0.863000,0.809000
HD 191939 b,8.88032560000,0.0804000000,3.41000000,100.0000,5348.00,880.00,2459443.54236000,0.940000,0.810000
HD 191939 c,28.57974300000,0.1752000000,3.19500000,21.0000,5348.00,600.00,2459440.54910000,0.940000,0.810000
HD 191939 d,38.35303700000,0.2132000000,2.99500000,14.3000,5348.00,540.00,2459433.90600000,0.940000,0.810000
HD 219134 b,3.09292600000,0.0387600000,1.60200000,176.2000,4699.00,1015.00,2457126.69913000,0.778000,0.810000
HD 219134 c,6.76458000000,0.0653000000,1.51100000,62.1000,4699.00,782.00,2457474.04591000,0.778000,0.810000
Kepler-1091 b,1.43474156400,0.0232000000,1.09000000,978.4100,5672.00,1426.00,2454965.62944000,0.754000,0.810000
Kepler-1091 b,1.43474156400,0.0232000000,1.09000000,978.4100,5672.00,1426.00,2454965.62944000,0.754000,0.810000
Kepler-1091 b,1.43474156400,0.0232000000,1.09000000,978.4100,5672.00,1426.00,2454965.62944000,0.754000,0.810000
Kepler-1699 b,3.49078587800,0.0418000000,1.32000000,245.6500,5496.00,1010.00,2454966.10269000,0.725000,0.810000
Kepler-191 b,9.93962361000,0.0844000000,1.93000000,64.2900,5105.00,722.00,2454964.58267000,0.868000,0.810000
